Stock,name
1A0.SI,Katrina Group Ltd.
1A1.SI,Wong Fong Industries Limited
1A4.SI,AGV Group Limited
1B0.SI,mm2 Asia Ltd.
1B1.SI,HC Surgical Specialists Limited
1B6.SI,Ocean Sky International Limited
1C0.SI,Emerging Towns & Cities Singapore Ltd.
1C3.SI,Samurai 2K Aerosol Limited
1D0.SI,Kimly Limited
1D1.SI,UnUsUaL Limited
1D3.SI,LifeBrandz Ltd.
1D8.SI,Singapore O&G Ltd.
1E3.SI,Sanli Environmental Limited
1E6.SI,World Class Global Limited
1F0.SI,shopper360 Limited
1F1.SI,Y Ventures Group Ltd.
1F2.SI,Union Gas Holdings Limited
1F3.SI,Aspen 
1G1.SI,RE&S Holdings Limited
1G6.SI,No Signboard Holdings Ltd.
1H3.SI,Clearbridge Health Limited
1H4.SI,Memories Group Limited
1H8.SI,LY Corporation Limited
1J0.SI,SLB Development Ltd.
1J3.SI,Asian Healthcare Specialists Limited
1J4.SI,JEP Holdings Ltd.
1J5.SI,Hyphens Pharma International Limited
40D.SI,Starburst Holdings Limited
40E.SI,Spackman Entertainment Group Limited
40T.SI,ISEC Healthcare Ltd.
40V.SI,Alset International Limited
40W.SI,ZICO Holdings Inc.
41F.SI,GSS Energy Limited
41H.SI,BlackGold Natural Resources Limited
41O.SI,LHN Limited
41T.SI,GCCP Resources Limited
42C.SI,iX Biopharma Ltd.
42D.SI,NauticAWT Limited
42E.SI,Choo Chiang Holdings Ltd.
42F.SI,Yinda Infocomm Limited
42L.SI,TLV Holdings Limited
42N.SI,IPS Securex Holdings Limited
42R.SI,Jumbo Group Limited
42T.SI,The Trendlines Group Ltd.
42W.SI,China Star Food Group Limited
42Z.SI,Eindec Corporation Limited
43A.SI,GS Holdings Limited
43B.SI,Secura Group Limited
43E.SI,Anchor Resources Limited
43F.SI,Acromec Limited
43P.SI,United Global Limited
43Q.SI,Advancer Global Limited
500.SI,Tai Sin Electric Limited
502.SI,3Cnergy Limited
504.SI,HS Optimus Holdings Limited
505.SI,AsiaMedic Limited
528.SI,Second Chance Properties Ltd
532.SI,DISA Limited
539.SI,CPH Ltd.
540.SI,Tung Lok Restaurants 
541.SI,Abundance International Limited
543.SI,Noel Gifts International Ltd
544.SI,CSE Global Limited
546.SI,Medtecs International Corporation Limited
558.SI,UMS Holdings Limited
564.SI,Spindex Industries Limited
566.SI,SHS Holdings Ltd.
567.SI,Colex Holdings Limited
569.SI,Vicplas International Ltd
570.SI,Transit-Mixed Concrete Ltd
571.SI,International Press Softcom Limited
573.SI,Challenger Technologies Limited
575.SI,ASTI Holdings Limited
579.SI,Oceanus Group Limited
581.SI,Sunrise Shares Holdings Ltd.
583.SI,Progen Holdings Ltd
584.SI,OEL 
585.SI,Asian Micro Holdings Limited
586.SI,Global Dragon Limited
594.SI,CWX Global Limited
595.SI,GKE Corporation Limited
596.SI,Pavillon Holdings Ltd.
5AB.SI,Trek 2000 International Ltd
5AE.SI,Pollux Properties Ltd.
5AI.SI,P5 Capital Holdings Ltd.
5AL.SI,Annica Holdings Limited
5AU.SI,AP Oil International Limited
5BI.SI,Polaris Ltd.
5CF.SI,OKP Holdings Limited
5CP.SI,Silverlake Axis Ltd
5CR.SI,Asiatic Group 
5CT.SI,ecoWise Holdings Limited
5DD.SI,Micro-Mechanics 
5DM.SI,Ying Li International Real Estate Limited
5DP.SI,Heeton Holdings Limited
5DS.SI,Megachem Limited
5DX.SI,Metal Component Engineering Limited
5EB.SI,CFM Holdings Limited
5EF.SI,Adventus Holdings Limited
5EG.SI,Zhongxin Fruit and Juice Limited
5EK.SI,SinoCloud Group Limited
5EL.SI,Lasseters International Holdings Limited
5EV.SI,Hosen Group Ltd.
5EW.SI,Pan Asian Holdings Limited
5F7.SI,Wilton Resources Corporation Limited
5FH.SI,Citicode Ltd.
5FX.SI,New Wave Holdings Ltd.
5G1.SI,EuroSports Global Limited
5G2.SI,Kim Heng Offshore & Marine Holdings Limited
5G3.SI,TalkMed Group Limited
5G9.SI,Tritech Group Limited
5GD.SI,Sunpower Group Ltd.
5GI.SI,Interra Resources Limited
5GJ.SI,AusGroup Limited
5GZ.SI,HGH Holdings Ltd.
5H0.SI,SingHaiyi Group Ltd.
